Designator,Mid X,Mid Y,Rotation,Layer
C1,22.352,32.992,270.0,bottom
C2,53.34,1.27,90.0,bottom
C3,28.702,32.98,270.0,bottom
D1,62.25,28.925,180.0,bottom
J1,43.815,25.4,90.0,bottom
J10,11.94,0.0,180.0,bottom
J2,68.58,0.0,270.0,bottom
J3,68.58,27.94,270.0,bottom
J4,-0.635,23.495,0.0,bottom
J5,73.66,23.495,0.0,bottom
J6,71.21,11.43,0.0,bottom
J7,1.84,11.43,0.0,bottom
J9,5.715,17.27,270.0,bottom
R1,64.77,24.13,180.0,bottom
RV1,40.005,16.75,90.0,top
SW1,54.92,32.345,0.0,bottom
SW2,28.687,25.4,90.0,bottom
SW3_2,13.08,42.799,180.0,top
SW3,44.195,42.672,180.0,top
SW4,1.27,42.545,90.0,top
U1,57.15,6.985,270.0,bottom
U2,60.96,15.875,315.0,top
U3,40.005,17.78,0.0,bottom
U4,19.0515,15.875,315.0,top
